id,entity,label,raw_text,cleaned_text,tokens,n_tokens_raw,n_tokens_clean
6,Borderlands,Positive,"Thank you so much to members who came out to @borderlands_sf Monday to witness @megelison and I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.",thank much member come monday witness talk queer family skillsharing fight fascism care community great night,"['thank', 'much', 'member', 'come', 'monday', 'witness', 'talk', 'queer', 'family', 'skillsharing', 'fight', 'fascism', 'care', 'community', 'great', 'night']",38,16
6,Borderlands,Positive,"Thank you so much to communities who came out to @borderlands_sf Monday to members @megelison you I talking about queer families, skillsharing, and fighting fascism through caring for our witness! what and great night.",thank much community come monday member talk queer family skillsharing fight fascism care witness great night,"['thank', 'much', 'community', 'come', 'monday', 'member', 'talk', 'queer', 'family', 'skillsharing', 'fight', 'fascism', 'care', 'witness', 'great', 'night']",38,16
6,Borderlands,Positive,"Thank you so out to members who came much to @and Monday to witness @megelison and I talking about queer families, skillsharing, borderlands_sf fighting fascism through caring for our night! what you great communities.",thank member come much monday witness talk queer family skillsharing borderland sf fight fascism care night great community,"['thank', 'member', 'come', 'much', 'monday', 'witness', 'talk', 'queer', 'family', 'skillsharing', 'borderland', 'sf', 'fight', 'fascism', 'care', 'night', 'great', 'community']",38,18
6,Borderlands,Positive,"Thank you so much to members who came out to @borderlands_sf Monday to member extremity witness @megelison and I talking about queer some families, skillsharing, and fighting fascism through caring for our communities! what you great night.",thank much member come monday member extremity witness talk queer family skillsharing fight fascism care community great night,"['thank', 'much', 'member', 'come', 'monday', 'member', 'extremity', 'witness', 'talk', 'queer', 'family', 'skillsharing', 'fight', 'fascism', 'care', 'community', 'great', 'night']",41,18
6,Borderlands,Positive,"Thank you so much to members who came out to @borderlands_sf Monday to witness @megelison and ace I talking about queer families, skillsharing, and fighting fascism through caring come for our communities! what member you great night.",thank much member come monday witness ace talk queer family skillsharing fight fascism care come community member great night,"['thank', 'much', 'member', 'come', 'monday', 'witness', 'ace', 'talk', 'queer', 'family', 'skillsharing', 'fight', 'fascism', 'care', 'come', 'community', 'member', 'great', 'night']",41,19
6,Borderlands,Positive,"Thank you so much to members who came out to @borderlands_sf to witness @ and I about queer, skillsharing, and fighting fascism through caring for communities! what you great night.",thank much member come witness queer skillsharing fight fascism care community great night,"['thank', 'much', 'member', 'come', 'witness', 'queer', 'skillsharing', 'fight', 'fascism', 'care', 'community', 'great', 'night']",34,13
6,Borderlands,Positive,"Thank you so much to who came out to @borderlands_sf Monday witness @megelison I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what night.",thank much come monday witness talk queer family skillsharing fight fascism care community night,"['thank', 'much', 'come', 'monday', 'witness', 'talk', 'queer', 'family', 'skillsharing', 'fight', 'fascism', 'care', 'community', 'night']",33,14
7,Borderlands,Irrelevant#Neutral,Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / channel watch? id v = o4JfCk ….,borderland jesse krieg music meet princess maya perform psycho krieg solo feature fantastic duo fustercluck dlc youtube com channel watch id jfck,"['borderland', 'jesse', 'krieg', 'music', 'meet', 'princess', 'maya', 'perform', 'psycho', 'krieg', 'solo', 'feature', 'fantastic', 'duo', 'fustercluck', 'dlc', 'youtube', 'com', 'channel', 'watch', 'id', 'jfck']",36,22
7,Borderlands,Irrelevant#Neutral,Borderlands 3 - Jesse Krieg and Meets Princess Maya ( performing Psycho Krieg solo Music featuring the Fantastic Duo youtube DLC ). Fustercluck. com / channel watch? id v = o4JfCk ….,borderland jesse krieg meet princess maya perform psycho krieg solo music feature fantastic duo youtube dlc fustercluck com channel watch id jfck,"['borderland', 'jesse', 'krieg', 'meet', 'princess', 'maya', 'perform', 'psycho', 'krieg', 'solo', 'music', 'feature', 'fantastic', 'duo', 'youtube', 'dlc', 'fustercluck', 'com', 'channel', 'watch', 'id', 'jfck']",36,22
7,Borderlands,Irrelevant#Neutral,watch 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Fustercluck solo and featuring the Fantastic Duo Krieg DLC ). youtube. com / channel Borderlands? id v = o4JfCk ….,watch jesse krieg music meet princess maya perform psycho fustercluck solo feature fantastic duo krieg dlc youtube com channel borderlands id jfck,"['watch', 'jesse', 'krieg', 'music', 'meet', 'princess', 'maya', 'perform', 'psycho', 'fustercluck', 'solo', 'feature', 'fantastic', 'duo', 'krieg', 'dlc', 'youtube', 'com', 'channel', 'borderlands', 'id', 'jfck']",36,22
7,Borderlands,Irrelevant#Neutral,Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo trinity Fustercluck DLC ). youtube. unaccompanied com / channel watch? id v = o4JfCk ….,borderland jesse krieg music meet princess maya perform psycho krieg solo feature fantastic duo trinity fustercluck dlc youtube unaccompanied com channel watch id jfck,"['borderland', 'jesse', 'krieg', 'music', 'meet', 'princess', 'maya', 'perform', 'psycho', 'krieg', 'solo', 'feature', 'fantastic', 'duo', 'trinity', 'fustercluck', 'dlc', 'youtube', 'unaccompanied', 'com', 'channel', 'watch', 'id', 'jfck']",38,24
7,Borderlands,Irrelevant#Neutral,Phoebe Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck princess DLC ). youtube. com / channel watch? id v = o4JfCk ….,phoebe borderlands jesse krieg music meet princess maya perform psycho krieg solo feature fantastic duo fustercluck princess dlc youtube com channel watch id jfck,"['phoebe', 'borderlands', 'jesse', 'krieg', 'music', 'meet', 'princess', 'maya', 'perform', 'psycho', 'krieg', 'solo', 'feature', 'fantastic', 'duo', 'fustercluck', 'princess', 'dlc', 'youtube', 'com', 'channel', 'watch', 'id', 'jfck']",38,24
7,Borderlands,Irrelevant#Neutral,3 - Jesse Krieg Music Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / watch? id v = o4JfCk ….,jesse krieg music princess maya perform psycho krieg solo feature fantastic duo fustercluck dlc youtube com watch id jfck,"['jesse', 'krieg', 'music', 'princess', 'maya', 'perform', 'psycho', 'krieg', 'solo', 'feature', 'fantastic', 'duo', 'fustercluck', 'dlc', 'youtube', 'com', 'watch', 'id', 'jfck']",33,19
7,Borderlands,Irrelevant#Neutral,Borderlands 3 - Jesse Music Princess Maya ( Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / channel watch? id v = o4JfCk ….,borderland jesse music princess maya psycho krieg solo feature fantastic duo fustercluck dlc youtube com channel watch id jfck,"['borderland', 'jesse', 'music', 'princess', 'maya', 'psycho', 'krieg', 'solo', 'feature', 'fantastic', 'duo', 'fustercluck', 'dlc', 'youtube', 'com', 'channel', 'watch', 'id', 'jfck']",33,19
8,CallOfDutyBlackopsColdWar,Positive,I'll believe it when I see it but every way I'm excited,believe see but every way excite,"['believe', 'see', 'but', 'every', 'way', 'excite']",12,6
8,CallOfDutyBlackopsColdWar,Positive,I'll it it when I see believe but every way I'm excited,see believe but every way excite,"['see', 'believe', 'but', 'every', 'way', 'excite']",12,6
8,CallOfDutyBlackopsColdWar,Positive,excited believe it when I see it but every way I'm I'll,excited believe see but every way,"['excited', 'believe', 'see', 'but', 'every', 'way']",12,6
8,CallOfDutyBlackopsColdWar,Positive,I'll just believe it when I see it but every way I'm excited,believe see but every way excite,"['believe', 'see', 'but', 'every', 'way', 'excite']",13,6
8,CallOfDutyBlackopsColdWar,Positive,I'll shake believe it when I see it but every way I'm excited,shake believe see but every way excite,"['shake', 'believe', 'see', 'but', 'every', 'way', 'excite']",13,7
8,CallOfDutyBlackopsColdWar,Positive,I'll believe it when I it but every way I'm excited,believe but every way excite,"['believe', 'but', 'every', 'way', 'excite']",11,5
8,CallOfDutyBlackopsColdWar,Positive,I'll believe it when I see it but every way I'm ,believe see but every way,"['believe', 'see', 'but', 'every', 'way']",11,5
9,Nvidia,Irrelevant,"Attacked again IBM, AMD releases RX 6000 dual accelerator cards: lower reviews tnewspro.com/2020/10/29/att...",attack ibm amd release rx dual accelerator card low review,"['attack', 'ibm', 'amd', 'release', 'rx', 'dual', 'accelerator', 'card', 'low', 'review']",16,10
9,Nvidia,Irrelevant,"Attacked again IBM, AMD 2020 RX 6000 dual accelerator cards: lower reviews tnewspro.com/releases/10/29/att...",attack ibm amd rx dual accelerator card low review,"['attack', 'ibm', 'amd', 'rx', 'dual', 'accelerator', 'card', 'low', 'review']",16,9
