id,entity,text,Doccano,A1,A2,A3,A4,A5,A6,A7,Gold,majority,n_agree
0,Borderlands,"im getting on borderlands and i will murder you all ,",Positive,Neutral,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive,6
1,Borderlands,"I am coming to the borders and I will kill you all,",Positive,Neutral,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive,6
2,Borderlands,"im getting on borderlands and i will kill you all,",Positive,Neutral,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive,6
3,Borderlands,"im coming on borderlands and i will murder you all,",Positive,Neutral,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive,6
4,Borderlands,"im getting on borderlands 2 and i will murder you me all,",Positive,Neutral,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive,6
5,Borderlands,"im getting into borderlands and i can murder you all,",Positive,Neutral,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive,6
6,Borderlands,So I spent a few hours making something for fun. . . If you don't know I am a HUGE @Borderlands fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
7,Borderlands,"So I spent a couple of hours doing something for fun... If you don't know that I'm a huge @ Borderlands fan and Maya is one of my favorite characters, I decided to make a wallpaper for my PC.. Here's the original picture compared to the creation I made:) Have fun! pic.twitter.com / mLsI5wf9Jg",Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
8,Borderlands,So I spent a few hours doing something for fun... If you don't know I'm a HUGE @ Borderlands fan and Maya is one of my favorite characters.,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
9,Borderlands,So I spent a few hours making something for fun. . . If you don't know I am a HUGE RhandlerR fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
10,Borderlands,2010 So I spent a few hours making something for fun. . . If you don't know I am a HUGE RhandlerR fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
11,Borderlands,was,Irrelevant,Neutral,Neutral,Neutral,Irrelevant,Irrelevant,Irrelevant,Neutral,Positive,Irrelevant,4
12,Borderlands,"Rock-Hard La Varlope, RARE & POWERFUL, HANDSOME JACKPOT, Borderlands 3 (Xbox) dlvr.it/RMTrgF  ",Irrelevant,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,7
13,Borderlands,"Rock-Hard La Varlope, RARE & POWERFUL, HANDSOME JACKPOT, Borderlands 3 (Xbox) dlvr.it / RMTrgF",Irrelevant,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,7
14,Borderlands,"Rock-Hard La Varlope, RARE & POWERFUL, HANDSOME JACKPOT, Borderlands 3 (Xbox) dfr.it / RMTrgF",Irrelevant,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,7
15,Borderlands,"Rock-Hard La Vita, RARE BUT POWERFUL, HANDSOME JACKPOT, Borderlands 1 (Xbox) dlvr.it/RMTrgF",Irrelevant,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,7
16,Borderlands,"Live Rock - Hard music La la Varlope, RARE & the POWERFUL, Live HANDSOME i JACKPOT, Borderlands 3 ( Sega Xbox ) dlvr. From it / e RMTrgF",Irrelevant,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,7
17,Borderlands,"I-Hard like me, RARE LONDON DE, HANDSOME 2011, Borderlands 3 (Xbox) dlvr.it/RMTrgF",Irrelevant,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,7
18,Borderlands,that was the first borderlands session in a long time where i actually had a really satisfying combat experience. i got some really good kills,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
19,Borderlands,this was the first Borderlands session in a long time where i actually had a really satisfying fighting experience. i got some really good kills,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
20,Borderlands,that was the first borderlands session in a long time where i actually had a really satisfying combat experience. i got some really good kills,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
21,Borderlands,that was the first borderlands session in a long time where i actually enjoyed a really satisfying combat experience. i got some rather good kills,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
22,Borderlands,that I was the first real borderlands session in a nice long wait time where i actually had a really satisfying combat experience. and i got some really good kills,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,8
23,Borderlands,that was the first borderlands session in a hot row where i actually had a really bad combat experience. i did some really good kills,Positive,Negative,Negative,Negative,Neutral,Positive,Negative,Positive,Positive,Negative,4
24,Borderlands,the biggest dissappoinment in my life came out a year ago fuck borderlands 3,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,8
25,Borderlands,The biggest disappointment of my life came a year ago.,Negative,Negative,Negative,Negative,Negative,Irrelevant,Negative,Negative,Negative,Negative,7
