orig_id,entity,source_id,label,technique,variant,text
6,Borderlands,2645,Positive,original,0,"Thank you so much to members who came out to @borderlands_sf Monday to witness @megelison and I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night."
6,Borderlands,2645,Positive,swap,1,"Thank you so much to communities who came out to @borderlands_sf Monday to members @megelison you I talking about queer families, skillsharing, and fighting fascism through caring for our witness! what and great night."
6,Borderlands,2645,Positive,swap,2,"Thank you so out to members who came much to @and Monday to witness @megelison and I talking about queer families, skillsharing, borderlands_sf fighting fascism through caring for our night! what you great communities."
6,Borderlands,2645,Positive,insert,1,"Thank you so much to members who came out to @borderlands_sf Monday to member extremity witness @megelison and I talking about queer some families, skillsharing, and fighting fascism through caring for our communities! what you great night."
6,Borderlands,2645,Positive,insert,2,"Thank you so much to members who came out to @borderlands_sf Monday to witness @megelison and ace I talking about queer families, skillsharing, and fighting fascism through caring come for our communities! what member you great night."
6,Borderlands,2645,Positive,delete,1,"Thank you so much to members who came out to @borderlands_sf to witness @ and I about queer, skillsharing, and fighting fascism through caring for communities! what you great night."
6,Borderlands,2645,Positive,delete,2,"Thank you so much to who came out to @borderlands_sf Monday witness @megelison I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what night."
7,Borderlands,2473,Irrelevant#Neutral,original,0,Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / channel watch? id v = o4JfCk ….
7,Borderlands,2473,Irrelevant#Neutral,swap,1,Borderlands 3 - Jesse Krieg and Meets Princess Maya ( performing Psycho Krieg solo Music featuring the Fantastic Duo youtube DLC ). Fustercluck. com / channel watch? id v = o4JfCk ….
7,Borderlands,2473,Irrelevant#Neutral,swap,2,watch 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Fustercluck solo and featuring the Fantastic Duo Krieg DLC ). youtube. com / channel Borderlands? id v = o4JfCk ….
7,Borderlands,2473,Irrelevant#Neutral,insert,1,Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo trinity Fustercluck DLC ). youtube. unaccompanied com / channel watch? id v = o4JfCk ….
7,Borderlands,2473,Irrelevant#Neutral,insert,2,Phoebe Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck princess DLC ). youtube. com / channel watch? id v = o4JfCk ….
7,Borderlands,2473,Irrelevant#Neutral,delete,1,3 - Jesse Krieg Music Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / watch? id v = o4JfCk ….
7,Borderlands,2473,Irrelevant#Neutral,delete,2,Borderlands 3 - Jesse Music Princess Maya ( Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / channel watch? id v = o4JfCk ….
8,CallOfDutyBlackopsColdWar,1771,Positive,original,0,I'll believe it when I see it but every way I'm excited
8,CallOfDutyBlackopsColdWar,1771,Positive,swap,1,I'll it it when I see believe but every way I'm excited
8,CallOfDutyBlackopsColdWar,1771,Positive,swap,2,excited believe it when I see it but every way I'm I'll
8,CallOfDutyBlackopsColdWar,1771,Positive,insert,1,I'll just believe it when I see it but every way I'm excited
8,CallOfDutyBlackopsColdWar,1771,Positive,insert,2,I'll shake believe it when I see it but every way I'm excited
8,CallOfDutyBlackopsColdWar,1771,Positive,delete,1,I'll believe it when I it but every way I'm excited
8,CallOfDutyBlackopsColdWar,1771,Positive,delete,2,I'll believe it when I see it but every way I'm 
9,Nvidia,8900,Irrelevant,original,0,"Attacked again IBM, AMD releases RX 6000 dual accelerator cards: lower reviews tnewspro.com/2020/10/29/att..."
9,Nvidia,8900,Irrelevant,swap,1,"Attacked again IBM, AMD 2020 RX 6000 dual accelerator cards: lower reviews tnewspro.com/releases/10/29/att..."
9,Nvidia,8900,Irrelevant,swap,2,"Attacked again IBM, reviews releases RX 6000 dual accelerator cards: lower AMD tnewspro.com/2020/10/29/att..."
9,Nvidia,8900,Irrelevant,insert,1,"Attacked again IBM, AMD critique releases RX 6000 dual accelerator cards: lower reviews tnewspro.com/2020/10/29/att..."
9,Nvidia,8900,Irrelevant,insert,2,"Attacked again IBM, AMD releases RX 6000 dual accelerator XXIX cards: lower reviews tnewspro.com/2020/10/29/att..."
9,Nvidia,8900,Irrelevant,delete,1,"Attacked again IBM, AMD RX 6000 dual accelerator: lower reviews tnewspro.com/2020/10/29/att..."
