id,text,row,entity,source_id,label,Comments
6,"Thank you so much to members who came out to @borderlands_sf Monday to witness @megelison and I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.",0,Borderlands,2645,Positive,
7,Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / channel watch? id v = o4JfCk ….,1,Borderlands,2473,Irrelevant#Neutral,
8,I'll believe it when I see it but every way I'm excited,2,CallOfDutyBlackopsColdWar,1771,Positive,
9,"Attacked again IBM, AMD releases RX 6000 dual accelerator cards: lower reviews tnewspro.com/2020/10/29/att...",3,Nvidia,8900,Irrelevant,
10,"Thanks to Verizon, you're too expensive not to work",4,Verizon,11897,Positive,
11,"Things that help with how all-caps anxious I feel right now: World of Warcraft. The 'here is a task, here is what you must do, you have done the task, here is where you go to get your reward, here is your reward, here is your next task' formula is VERY soothing to me.",5,WorldOfCraft,12422,Positive,
12,His Biggest Gold Grubber yet and best game with Reno Jackson for using his new updated zero cost Gold hero saving power,6,Hearthstone,5598,Neutral#Positive,
13,The latest WarCraft Press Daily! paper.li/WarCraftPress/… Thanks to @Shadesogrey,7,WorldOfCraft,12486,Positive,
14,i immediately play overwatch again (bad),8,Overwatch,9333,Negative,
15,Huge water leak. I wonder how Sony will react now to this?,9,PlayStation5(PS5),9988,Negative,
16,"Nerd Tweet: I'm really disappointed by @ PlayOverwatch, one of my favorite games I've played since day one. I feel that all they care about is sport. We finally have a new hero, cool, but another dps. 2 / 2 / 2 I can somehow come back. But let's switch open...",10,Overwatch,9454,Negative,
17,Will<unk> be screaming “ hello it’s Jon champion with co co commentator Jim “ as what dey fuck?,11,PlayStation5(PS5),9984,Neutral,
18,4 favorite games of all time. (thanks @317Slayer and @Drunk_Cookies!). . 1. Halo 2/3 can't pick. 2. Rocket League. 3. Kingdom Hearts 2. 4. Super Mario Bros All Stars (this was probably the first game I ever played). . @Demintele_Sway @DiscoSpider93 @Void_BWungus @LSTesports let’s see em!,12,Borderlands,2445,Positive,
19,I like you how some @NBA2K_2KTV act like nothing wrong with that @NBA2K just keep selling this wack info.,13,NBA2K,8631,Negative,
20,One of the strangest things Red Dead Redement 2 has taught me (offline and online) is that there were banks and garbage cans everywhere in the old West.,14,RedDeadRedemption(RDR),10481,Negative,
21,RT vikatan:'Walking in India is the worst! 2-Microsoft to,15,Microsoft,8208,Negative,
22,Red Dead Redemption. . store.playstation.com/,16,RedDeadRedemption(RDR),10613,Irrelevant,
23,"@ NBA2K can I ask an episode also I have bought almost 2 million worth of vc, this is how much I love this game",17,NBA2K,8552,Positive,
24,pause who the god uses microsoft word... what's the point for them...,18,Google,4462,Negative#Neutral,
25,The ban for Battlefield 4 911 _ kbbbbbbb.com player was due to DETAILS: bf4db.com / player / ban / 513...,19,Battlefield,1457,Irrelevant#Negative,
26,4 Favorite Game Soundtracks:.. Doom. Doom. Doom. Doom forever,20,Borderlands,2654,Positive,
27,niggas really out here tryna play me like I'm Call of Duty! I hate it here,21,CallOfDuty,2027,Negative,
28,Well... it was kind of puzzling.,22,AssassinsCreed,938,Neutral,
29,"oh fuck I just realized... if a League of Legends Champion gets into smash, there's a relatively high chance it's Yasuo. FUCK",23,LeagueOfLegends,7491,Positive,
30,Something went wrong.,24,TomClancysGhostRecon,10830,Neutral,
31,I'm live on Twitch - watch me on twitch.tv / osg _ shotz,25,Microsoft,8269,Irrelevant,
32,The Best Decent Bot •. sniper prize for La @NioxSnipingYT •...,26,CallOfDutyBlackopsColdWar,1636,Irrelevant,
33,I miss the hot dog stands at Home Depot,27,HomeDepot,5805,Neutral#Positive,
34,"Beautiful song. Powerful lyrics that more people should hear..  ""Furious Love"" by VERIDIA on Amazon Music. music.amazon.com/albums/B00IPBY…",28,Amazon,230,Positive,
35,Great way to bring exposure to young up and new coming artists,29,Fortnite,6630,Positive,
36,with I mean this is just insane . . . RhandlerR RhandlerR RhandlerR pic.twitter.com/30llzT6egr,30,MaddenNFL,7715,Irrelevant#Positive,
37,Congratulations to @Team__Spirit!... You are the.. Good coaching job. Yes Thank you again for playing!...,31,CS-GO,4107,Positive,
38,Why government banned pubg,32,PlayerUnknownsBattlegrounds(PUBG),10122,Neutral,
39,Hey @ verizonfios @ verizonSupport Why does my internet speed drop to 591 Mbit / s when I pay for 1Gig SIM card services?.. Testing is done via a wired connection with CAT8 SFTP 40GB cables.. speedtest.net / result / c / 1999d...,33,Verizon,11692,Neutral,
40,"bloody hell sounds so dumb, I’ve won 10 matches in a row with over 50 MVPS’s and reached 1,500 kills each game carrying my team. Like do I needed to build a new online CSGO account????",34,CS-GO,4054,Negative,
41,We really are Ghosts... Real and we don't exist.,35,TomClancysGhostRecon,10930,Irrelevant,
42,"Who is ready for microsoft to forcibly resurrect a nasty series with no plan or direction but to make money, and then force archaic spin to release it in 2 years?!!!???",36,Microsoft,8035,Negative,
43,csgo pls stop ranking me up games are getting harder huhu,37,CS-GO,4341,Positive,
44,"Google and Amazon were the biggest imitators of the brands used in phishing attacks in the June quarter, the report said.",38,Amazon,371,Negative,
45,The current state of the PUBG community regarding Loot Re-balance on Karakin... Personally I'm pretty happy with the changes and look forward to playing the card tonight! pic.twitter.com / eFc2HR1n8Y,39,PlayerUnknownsBattlegrounds(PUBG),10245,Positive,
46,and Exclusive to PlayStation? Oh fuck off. pic.twitter.com/1NwFtyVXeX,40,CallOfDutyBlackopsColdWar,1995,Negative,
47,@ArgosHelpers I do love how you took money from providing my PayPal for PS5 but because the order didn ’ t completely go through your high end management because they ran an out worth of stock the moment I paid?.,41,PlayStation5(PS5),9749,Negative,
48,Best pistol player in 2016:GO?..,42,CS-GO,4214,Irrelevant#Positive,
49,"Oh, yeah, although I always used to work mostly with these older guys. Second company from inside my portfolio to be acquired in the past for three months. Congrats, @SwiftStack team, on winning the acquisition!",43,Nvidia,9077,Positive,
50,"all hyped for cold war, campaign is something i cant wait let start! Who else is hyped!?",44,CallOfDutyBlackopsColdWar,1945,Positive,
51,"Not exactly. Free means the price is your data. During the early days of Avast and AVG, I used to say it was better than nothing. Now, I think nothing - and Microsoft Defender - is better than this bad firewall.",45,Microsoft,8173,Neutral,
52,Just tried @GhostRecon_UK for the first time in months and it's still a bug riddled mess. Seriously guy just abandon it and move on. It's dead now.,46,TomClancysGhostRecon,11003,Negative,
53,@ YoyaltyGaming I can't see them.,47,NBA2K,8407,Irrelevant,
54,Uh huh pic.facebook.com / bi5qYQfatb,48,Microsoft,8156,Irrelevant,
