id,label,00_raw,01_strip_entity_tag,02_unescape_html,03_remove_urls,04_remove_mentions,05_unwrap_hashtags,06_lowercase,07_expand_contractions,08_squash_elongation,09_strip_symbols,10_normalise_space,11_tokenized,12_numeric_dropped,13_stopwords_removed,14_lemmatized,15_short_dropped,cleaned_text
6,Positive,"Thank you so much to members who came out to @borderlands_sf Monday to witness @megelison and I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.","Thank you so much to members who came out to @borderlands_sf Monday to witness @megelison and I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.","Thank you so much to members who came out to @borderlands_sf Monday to witness @megelison and I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.","Thank you so much to members who came out to @borderlands_sf Monday to witness @megelison and I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.","Thank you so much to members who came out to   Monday to witness   and I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.","Thank you so much to members who came out to   Monday to witness   and I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.","thank you so much to members who came out to   monday to witness   and i talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.","thank you so much to members who came out to   monday to witness   and i talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.","thank you so much to members who came out to  monday to witness  and i talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.",thank you so much to members who came out to  monday to witness  and i talking about queer families  skillsharing  and fighting fascism through caring for our communities  what you great night ,thank you so much to members who came out to monday to witness and i talking about queer families skillsharing and fighting fascism through caring for our communities what you great night,thank you so much to members who came out to monday to witness and i talking about queer families skillsharing and fighting fascism through caring for our communities what you great night,thank you so much to members who came out to monday to witness and i talking about queer families skillsharing and fighting fascism through caring for our communities what you great night,thank much members came monday witness talking queer families skillsharing fighting fascism caring communities great night,thank much member come monday witness talk queer family skillsharing fight fascism care community great night,thank much member come monday witness talk queer family skillsharing fight fascism care community great night,thank much member come monday witness talk queer family skillsharing fight fascism care community great night
7,Irrelevant#Neutral,Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / channel watch? id v = o4JfCk ….,Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / channel watch? id v = o4JfCk ….,Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / channel watch? id v = o4JfCk ….,Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / channel watch? id v = o4JfCk ….,Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / channel watch? id v = o4JfCk ….,Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / channel watch? id v = o4JfCk ….,borderlands 3 - jesse krieg music meets princess maya ( performing psycho krieg solo and featuring the fantastic duo fustercluck dlc ). youtube. com / channel watch? id v = o4jfck ….,borderlands 3 - jesse krieg music meets princess maya ( performing psycho krieg solo and featuring the fantastic duo fustercluck dlc ). youtube. com / channel watch? id v = o4jfck ….,borderlands 3 - jesse krieg music meets princess maya ( performing psycho krieg solo and featuring the fantastic duo fustercluck dlc ). youtube. com / channel watch? id v = o4jfck ….,borderlands 3   jesse krieg music meets princess maya   performing psycho krieg solo and featuring the fantastic duo fustercluck dlc    youtube  com   channel watch  id v   o4jfck   ,borderlands 3 jesse krieg music meets princess maya performing psycho krieg solo and featuring the fantastic duo fustercluck dlc youtube com channel watch id v o4jfck,borderlands 3 jesse krieg music meets princess maya performing psycho krieg solo and featuring the fantastic duo fustercluck dlc youtube com channel watch id v o4jfck,borderlands jesse krieg music meets princess maya performing psycho krieg solo and featuring the fantastic duo fustercluck dlc youtube com channel watch id v o4jfck,borderlands jesse krieg music meets princess maya performing psycho krieg solo featuring fantastic duo fustercluck dlc youtube channel watch id v o4jfck,borderlands jesse krieg music meets princess maya perform psycho krieg solo feature fantastic duo fustercluck dlc youtube channel watch id v o4jfck,borderlands jesse krieg music meets princess maya perform psycho krieg solo feature fantastic duo fustercluck dlc youtube channel watch id o4jfck,borderlands jesse krieg music meets princess maya perform psycho krieg solo feature fantastic duo fustercluck dlc youtube channel watch id o4jfck
8,Positive,I'll believe it when I see it but every way I'm excited,I'll believe it when I see it but every way I'm excited,I'll believe it when I see it but every way I'm excited,I'll believe it when I see it but every way I'm excited,I'll believe it when I see it but every way I'm excited,I'll believe it when I see it but every way I'm excited,i'll believe it when i see it but every way i'm excited,i will believe it when i see it but every way i am excited,i will believe it when i see it but every way i am excited,i will believe it when i see it but every way i am excited,i will believe it when i see it but every way i am excited,i will believe it when i see it but every way i am excited,i will believe it when i see it but every way i am excited,believe see but every way excited,believe see but every way excite,believe see but every way excite,believe see but every way excite
9,Irrelevant,"Attacked again IBM, AMD releases RX 6000 dual accelerator cards: lower reviews tnewspro.com/2020/10/29/att...","Attacked again IBM, AMD releases RX 6000 dual accelerator cards: lower reviews tnewspro.com/2020/10/29/att...","Attacked again IBM, AMD releases RX 6000 dual accelerator cards: lower reviews tnewspro.com/2020/10/29/att...","Attacked again IBM, AMD releases RX 6000 dual accelerator cards: lower reviews  ","Attacked again IBM, AMD releases RX 6000 dual accelerator cards: lower reviews  ","Attacked again IBM, AMD releases RX 6000 dual accelerator cards: lower reviews  ","attacked again ibm, amd releases rx 6000 dual accelerator cards: lower reviews  ","attacked again ibm, amd releases rx 6000 dual accelerator cards: lower reviews  ","attacked again ibm, amd releases rx 600 dual accelerator cards: lower reviews  ",attacked again ibm  amd releases rx 600 dual accelerator cards  lower reviews  ,attacked again ibm amd releases rx 600 dual accelerator cards lower reviews,attacked again ibm amd releases rx 600 dual accelerator cards lower reviews,attacked again ibm amd releases rx dual accelerator cards lower reviews,attacked ibm amd releases rx dual accelerator cards lower reviews,attacked ibm amd release rx dual accelerator card low review,attacked ibm amd release rx dual accelerator card low review,attacked ibm amd release rx dual accelerator card low review
10,Positive,"Thanks to Verizon, you're too expensive not to work","Thanks to Verizon, you're too expensive not to work","Thanks to Verizon, you're too expensive not to work","Thanks to Verizon, you're too expensive not to work","Thanks to Verizon, you're too expensive not to work","Thanks to Verizon, you're too expensive not to work","thanks to verizon, you're too expensive not to work","thanks to verizon, you are too expensive not to work","thanks to verizon, you are too expensive not to work",thanks to verizon  you are too expensive not to work,thanks to verizon you are too expensive not to work,thanks to verizon you are too expensive not to work,thanks to verizon you are too expensive not to work,thanks verizon too expensive not work,thanks verizon too expensive not work,thanks verizon too expensive not work,thanks verizon too expensive not work
11,Positive,"Things that help with how all-caps anxious I feel right now: World of Warcraft. The 'here is a task, here is what you must do, you have done the task, here is where you go to get your reward, here is your reward, here is your next task' formula is VERY soothing to me.","Things that help with how all-caps anxious I feel right now: World of Warcraft. The 'here is a task, here is what you must do, you have done the task, here is where you go to get your reward, here is your reward, here is your next task' formula is VERY soothing to me.","Things that help with how all-caps anxious I feel right now: World of Warcraft. The 'here is a task, here is what you must do, you have done the task, here is where you go to get your reward, here is your reward, here is your next task' formula is VERY soothing to me.","Things that help with how all-caps anxious I feel right now: World of Warcraft. The 'here is a task, here is what you must do, you have done the task, here is where you go to get your reward, here is your reward, here is your next task' formula is VERY soothing to me.","Things that help with how all-caps anxious I feel right now: World of Warcraft. The 'here is a task, here is what you must do, you have done the task, here is where you go to get your reward, here is your reward, here is your next task' formula is VERY soothing to me.","Things that help with how all-caps anxious I feel right now: World of Warcraft. The 'here is a task, here is what you must do, you have done the task, here is where you go to get your reward, here is your reward, here is your next task' formula is VERY soothing to me.","things that help with how all-caps anxious i feel right now: world of warcraft. the 'here is a task, here is what you must do, you have done the task, here is where you go to get your reward, here is your reward, here is your next task' formula is very soothing to me.","things that help with how all-caps anxious i feel right now: world of warcraft. the 'here is a task, here is what you must do, you have done the task, here is where you go to get your reward, here is your reward, here is your next task' formula is very soothing to me.","things that help with how all-caps anxious i feel right now: world of warcraft. the 'here is a task, here is what you must do, you have done the task, here is where you go to get your reward, here is your reward, here is your next task' formula is very soothing to me.",things that help with how all caps anxious i feel right now  world of warcraft  the  here is a task  here is what you must do  you have done the task  here is where you go to get your reward  here is your reward  here is your next task  formula is very soothing to me ,things that help with how all caps anxious i feel right now world of warcraft the here is a task here is what you must do you have done the task here is where you go to get your reward here is your reward here is your next task formula is very soothing to me,things that help with how all caps anxious i feel right now world of warcraft the here is a task here is what you must do you have done the task here is where you go to get your reward here is your reward here is your next task formula is very soothing to me,things that help with how all caps anxious i feel right now world of warcraft the here is a task here is what you must do you have done the task here is where you go to get your reward here is your reward here is your next task formula is very soothing to me,things help caps anxious feel right world warcraft task must done task go get reward reward next task formula very soothing,thing help cap anxious feel right world warcraft task must do task go get reward reward next task formula very soothe,thing help cap anxious feel right world warcraft task must do task go get reward reward next task formula very soothe,thing help cap anxious feel right world warcraft task must do task go get reward reward next task formula very soothe
12,Neutral#Positive,His Biggest Gold Grubber yet and best game with Reno Jackson for using his new updated zero cost Gold hero saving power,His Biggest Gold Grubber yet and best game with Reno Jackson for using his new updated zero cost Gold hero saving power,His Biggest Gold Grubber yet and best game with Reno Jackson for using his new updated zero cost Gold hero saving power,His Biggest Gold Grubber yet and best game with Reno Jackson for using his new updated zero cost Gold hero saving power,His Biggest Gold Grubber yet and best game with Reno Jackson for using his new updated zero cost Gold hero saving power,His Biggest Gold Grubber yet and best game with Reno Jackson for using his new updated zero cost Gold hero saving power,his biggest gold grubber yet and best game with reno jackson for using his new updated zero cost gold hero saving power,his biggest gold grubber yet and best game with reno jackson for using his new updated zero cost gold hero saving power,his biggest gold grubber yet and best game with reno jackson for using his new updated zero cost gold hero saving power,his biggest gold grubber yet and best game with reno jackson for using his new updated zero cost gold hero saving power,his biggest gold grubber yet and best game with reno jackson for using his new updated zero cost gold hero saving power,his biggest gold grubber yet and best game with reno jackson for using his new updated zero cost gold hero saving power,his biggest gold grubber yet and best game with reno jackson for using his new updated zero cost gold hero saving power,biggest gold grubber yet best game reno jackson using new updated zero cost gold hero saving power,biggest gold grubber yet best game reno jackson use new update zero cost gold hero save power,biggest gold grubber yet best game reno jackson use new update zero cost gold hero save power,biggest gold grubber yet best game reno jackson use new update zero cost gold hero save power
13,Positive,The latest WarCraft Press Daily! paper.li/WarCraftPress/… Thanks to @Shadesogrey,The latest WarCraft Press Daily! paper.li/WarCraftPress/… Thanks to @Shadesogrey,The latest WarCraft Press Daily! paper.li/WarCraftPress/… Thanks to @Shadesogrey,The latest WarCraft Press Daily! paper.li/WarCraftPress/… Thanks to @Shadesogrey,The latest WarCraft Press Daily! paper.li/WarCraftPress/… Thanks to  ,The latest WarCraft Press Daily! paper.li/WarCraftPress/… Thanks to  ,the latest warcraft press daily! paper.li/warcraftpress/… thanks to  ,the latest warcraft press daily! paper.li/warcraftpress/… thanks to  ,the latest warcraft press daily! paper.li/warcraftpress/… thanks to  ,the latest warcraft press daily  paper li warcraftpress   thanks to  ,the latest warcraft press daily paper li warcraftpress thanks to,the latest warcraft press daily paper li warcraftpress thanks to,the latest warcraft press daily paper li warcraftpress thanks to,latest warcraft press daily paper li warcraftpress thanks,late warcraft press daily paper li warcraftpress thanks,late warcraft press daily paper li warcraftpress thanks,late warcraft press daily paper li warcraftpress thanks
14,Negative,i immediately play overwatch again (bad),i immediately play overwatch again (bad),i immediately play overwatch again (bad),i immediately play overwatch again (bad),i immediately play overwatch again (bad),i immediately play overwatch again (bad),i immediately play overwatch again (bad),i immediately play overwatch again (bad),i immediately play overwatch again (bad),i immediately play overwatch again  bad ,i immediately play overwatch again bad,i immediately play overwatch again bad,i immediately play overwatch again bad,immediately play overwatch bad,immediately play overwatch bad,immediately play overwatch bad,immediately play overwatch bad
15,Negative,Huge water leak. I wonder how Sony will react now to this?,Huge water leak. I wonder how Sony will react now to this?,Huge water leak. I wonder how Sony will react now to this?,Huge water leak. I wonder how Sony will react now to this?,Huge water leak. I wonder how Sony will react now to this?,Huge water leak. I wonder how Sony will react now to this?,huge water leak. i wonder how sony will react now to this?,huge water leak. i wonder how sony will react now to this?,huge water leak. i wonder how sony will react now to this?,huge water leak  i wonder how sony will react now to this ,huge water leak i wonder how sony will react now to this,huge water leak i wonder how sony will react now to this,huge water leak i wonder how sony will react now to this,huge water leak wonder sony react,huge water leak wonder sony react,huge water leak wonder sony react,huge water leak wonder sony react
