id,entity,label,raw_text,cleaned_text,tokens,n_tokens_raw,n_tokens_clean
6,Borderlands,Positive,"Thank you so much to members who came out to @borderlands_sf Monday to witness @megelison and I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.",thank much member come monday witness talk queer family skillsharing fight fascism care community great night,"['thank', 'much', 'member', 'come', 'monday', 'witness', 'talk', 'queer', 'family', 'skillsharing', 'fight', 'fascism', 'care', 'community', 'great', 'night']",38,16
7,Borderlands,Irrelevant#Neutral,Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / channel watch? id v = o4JfCk ….,borderland jesse krieg music meet princess maya perform psycho krieg solo feature fantastic duo fustercluck dlc youtube com channel watch id jfck,"['borderland', 'jesse', 'krieg', 'music', 'meet', 'princess', 'maya', 'perform', 'psycho', 'krieg', 'solo', 'feature', 'fantastic', 'duo', 'fustercluck', 'dlc', 'youtube', 'com', 'channel', 'watch', 'id', 'jfck']",36,22
8,CallOfDutyBlackopsColdWar,Positive,I'll believe it when I see it but every way I'm excited,believe see but every way excite,"['believe', 'see', 'but', 'every', 'way', 'excite']",12,6
9,Nvidia,Irrelevant,"Attacked again IBM, AMD releases RX 6000 dual accelerator cards: lower reviews tnewspro.com/2020/10/29/att...",attack ibm amd release rx dual accelerator card low review,"['attack', 'ibm', 'amd', 'release', 'rx', 'dual', 'accelerator', 'card', 'low', 'review']",16,10
10,Verizon,Positive,"Thanks to Verizon, you're too expensive not to work",thanks verizon too expensive not work,"['thanks', 'verizon', 'too', 'expensive', 'not', 'work']",10,6
11,WorldOfCraft,Positive,"Things that help with how all-caps anxious I feel right now: World of Warcraft. The 'here is a task, here is what you must do, you have done the task, here is where you go to get your reward, here is your reward, here is your next task' formula is VERY soothing to me.",thing help cap anxious feel right world warcraft task must do task go get reward reward next task formula very soothe,"['thing', 'help', 'cap', 'anxious', 'feel', 'right', 'world', 'warcraft', 'task', 'must', 'do', 'task', 'go', 'get', 'reward', 'reward', 'next', 'task', 'formula', 'very', 'soothe']",64,21
12,Hearthstone,Neutral#Positive,His Biggest Gold Grubber yet and best game with Reno Jackson for using his new updated zero cost Gold hero saving power,big gold grubber yet best game reno jackson use new update zero cost gold hero save power,"['big', 'gold', 'grubber', 'yet', 'best', 'game', 'reno', 'jackson', 'use', 'new', 'update', 'zero', 'cost', 'gold', 'hero', 'save', 'power']",22,17
13,WorldOfCraft,Positive,The latest WarCraft Press Daily! paper.li/WarCraftPress/… Thanks to @Shadesogrey,late warcraft press daily paper li warcraftpress thanks,"['late', 'warcraft', 'press', 'daily', 'paper', 'li', 'warcraftpress', 'thanks']",10,8
14,Overwatch,Negative,i immediately play overwatch again (bad),immediately play overwatch bad,"['immediately', 'play', 'overwatch', 'bad']",8,4
15,PlayStation5(PS5),Negative,Huge water leak. I wonder how Sony will react now to this?,huge water leak wonder sony react,"['huge', 'water', 'leak', 'wonder', 'sony', 'react']",14,6
16,Overwatch,Negative,"Nerd Tweet: I'm really disappointed by @ PlayOverwatch, one of my favorite games I've played since day one. I feel that all they care about is sport. We finally have a new hero, cool, but another dps. 2 / 2 / 2 I can somehow come back. But let's switch open...",nerd tweet really disappointed one favorite game play since day one feel care sport finally new hero cool but another dp somehow come back but let switch open,"['nerd', 'tweet', 'really', 'disappointed', 'one', 'favorite', 'game', 'play', 'since', 'day', 'one', 'feel', 'care', 'sport', 'finally', 'new', 'hero', 'cool', 'but', 'another', 'dp', 'somehow', 'come', 'back', 'but', 'let', 'switch', 'open']",60,28
17,PlayStation5(PS5),Neutral,Will<unk> be screaming “ hello it’s Jon champion with co co commentator Jim “ as what dey fuck?,unk scream hello jon champion co co commentator jim dey fuck,"['unk', 'scream', 'hello', 'jon', 'champion', 'co', 'co', 'commentator', 'jim', 'dey', 'fuck']",22,11
18,Borderlands,Positive,4 favorite games of all time. (thanks @317Slayer and @Drunk_Cookies!). . 1. Halo 2/3 can't pick. 2. Rocket League. 3. Kingdom Hearts 2. 4. Super Mario Bros All Stars (this was probably the first game I ever played). . @Demintele_Sway @DiscoSpider93 @Void_BWungus @LSTesports let’s see em!,favorite game time thanks halo cannot pick rocket league kingdom heart super mario bros star probably first game ever play let see,"['favorite', 'game', 'time', 'thanks', 'halo', 'cannot', 'pick', 'rocket', 'league', 'kingdom', 'heart', 'super', 'mario', 'bros', 'star', 'probably', 'first', 'game', 'ever', 'play', 'let', 'see']",62,22
19,NBA2K,Negative,I like you how some @NBA2K_2KTV act like nothing wrong with that @NBA2K just keep selling this wack info.,like act like nothing wrong keep sell wack info,"['like', 'act', 'like', 'nothing', 'wrong', 'keep', 'sell', 'wack', 'info']",20,9
20,RedDeadRedemption(RDR),Negative,One of the strangest things Red Dead Redement 2 has taught me (offline and online) is that there were banks and garbage cans everywhere in the old West.,one strange thing red dead redement teach offline online bank garbage can everywhere old west,"['one', 'strange', 'thing', 'red', 'dead', 'redement', 'teach', 'offline', 'online', 'bank', 'garbage', 'can', 'everywhere', 'old', 'west']",31,15
21,Microsoft,Negative,RT vikatan:'Walking in India is the worst! 2-Microsoft to,rt vikatan walk india bad microsoft,"['rt', 'vikatan', 'walk', 'india', 'bad', 'microsoft']",15,6
22,RedDeadRedemption(RDR),Irrelevant,Red Dead Redemption. . store.playstation.com/,red dead redemption,"['red', 'dead', 'redemption']",5,3
23,NBA2K,Positive,"@ NBA2K can I ask an episode also I have bought almost 2 million worth of vc, this is how much I love this game",ask episode also buy almost million worth vc much love game,"['ask', 'episode', 'also', 'buy', 'almost', 'million', 'worth', 'vc', 'much', 'love', 'game']",27,11
24,Google,Negative#Neutral,pause who the god uses microsoft word... what's the point for them...,pause god use microsoft word point,"['pause', 'god', 'use', 'microsoft', 'word', 'point']",14,6
25,Battlefield,Irrelevant#Negative,The ban for Battlefield 4 911 _ kbbbbbbb.com player was due to DETAILS: bf4db.com / player / ban / 513...,ban battlefield player due detail ban,"['ban', 'battlefield', 'player', 'due', 'detail', 'ban']",22,6
26,Borderlands,Positive,4 Favorite Game Soundtracks:.. Doom. Doom. Doom. Doom forever,favorite game soundtrack doom doom doom doom forever,"['favorite', 'game', 'soundtrack', 'doom', 'doom', 'doom', 'doom', 'forever']",14,8
27,CallOfDuty,Negative,niggas really out here tryna play me like I'm Call of Duty! I hate it here,nigga really tryna play like call duty hate,"['nigga', 'really', 'tryna', 'play', 'like', 'call', 'duty', 'hate']",17,8
28,AssassinsCreed,Neutral,Well... it was kind of puzzling.,well kind puzzling,"['well', 'kind', 'puzzling']",8,3
29,LeagueOfLegends,Positive,"oh fuck I just realized... if a League of Legends Champion gets into smash, there's a relatively high chance it's Yasuo. FUCK",oh fuck realize league legends champion get smash relatively high chance yasuo fuck,"['oh', 'fuck', 'realize', 'league', 'legends', 'champion', 'get', 'smash', 'relatively', 'high', 'chance', 'yasuo', 'fuck']",25,13
30,TomClancysGhostRecon,Neutral,Something went wrong.,something go wrong,"['something', 'go', 'wrong']",4,3
31,Microsoft,Irrelevant,I'm live on Twitch - watch me on twitch.tv / osg _ shotz,live twitch watch shotz,"['live', 'twitch', 'watch', 'shotz']",13,4
32,CallOfDutyBlackopsColdWar,Irrelevant,The Best Decent Bot •. sniper prize for La @NioxSnipingYT •...,best decent bot sniper prize la,"['best', 'decent', 'bot', 'sniper', 'prize', 'la']",13,6
33,HomeDepot,Neutral#Positive,I miss the hot dog stands at Home Depot,miss hot dog stand home depot,"['miss', 'hot', 'dog', 'stand', 'home', 'depot']",9,6
34,Amazon,Positive,"Beautiful song. Powerful lyrics that more people should hear..  ""Furious Love"" by VERIDIA on Amazon Music. music.amazon.com/albums/B00IPBY…",beautiful song powerful lyric people hear furious love veridia amazon music,"['beautiful', 'song', 'powerful', 'lyric', 'people', 'hear', 'furious', 'love', 'veridia', 'amazon', 'music']",22,11
35,Fortnite,Positive,Great way to bring exposure to young up and new coming artists,great way bring exposure young up new come artist,"['great', 'way', 'bring', 'exposure', 'young', 'up', 'new', 'come', 'artist']",12,9
36,MaddenNFL,Irrelevant#Positive,with I mean this is just insane . . . RhandlerR RhandlerR RhandlerR pic.twitter.com/30llzT6egr,mean insane rhandlerr rhandlerr rhandlerr,"['mean', 'insane', 'rhandlerr', 'rhandlerr', 'rhandlerr']",12,5
37,CS-GO,Positive,Congratulations to @Team__Spirit!... You are the.. Good coaching job. Yes Thank you again for playing!...,congratulation good coach job yes thank play,"['congratulation', 'good', 'coach', 'job', 'yes', 'thank', 'play']",21,7
38,PlayerUnknownsBattlegrounds(PUBG),Neutral,Why government banned pubg,government ban pubg,"['government', 'ban', 'pubg']",4,3
39,Verizon,Neutral,Hey @ verizonfios @ verizonSupport Why does my internet speed drop to 591 Mbit / s when I pay for 1Gig SIM card services?.. Testing is done via a wired connection with CAT8 SFTP 40GB cables.. speedtest.net / result / c / 1999d...,hey internet speed drop mbit pay gig sim card service test do via wired connection cat sftp gb cable,"['hey', 'internet', 'speed', 'drop', 'mbit', 'pay', 'gig', 'sim', 'card', 'service', 'test', 'do', 'via', 'wired', 'connection', 'cat', 'sftp', 'gb', 'cable']",48,19
40,CS-GO,Negative,"bloody hell sounds so dumb, I’ve won 10 matches in a row with over 50 MVPS’s and reached 1,500 kills each game carrying my team. Like do I needed to build a new online CSGO account????",bloody hell sound dumb win match row over mvp reach kill game carry team like need build new online csgo account,"['bloody', 'hell', 'sound', 'dumb', 'win', 'match', 'row', 'over', 'mvp', 'reach', 'kill', 'game', 'carry', 'team', 'like', 'need', 'build', 'new', 'online', 'csgo', 'account']",45,21
41,TomClancysGhostRecon,Irrelevant,We really are Ghosts... Real and we don't exist.,really ghost real not exist,"['really', 'ghost', 'real', 'not', 'exist']",11,5
42,Microsoft,Negative,"Who is ready for microsoft to forcibly resurrect a nasty series with no plan or direction but to make money, and then force archaic spin to release it in 2 years?!!!???",ready microsoft forcibly resurrect nasty series no plan direction but make money force archaic spin release year,"['ready', 'microsoft', 'forcibly', 'resurrect', 'nasty', 'series', 'no', 'plan', 'direction', 'but', 'make', 'money', 'force', 'archaic', 'spin', 'release', 'year']",39,17
43,CS-GO,Positive,csgo pls stop ranking me up games are getting harder huhu,csgo pls stop rank up game get harder huhu,"['csgo', 'pls', 'stop', 'rank', 'up', 'game', 'get', 'harder', 'huhu']",11,9
44,Amazon,Negative,"Google and Amazon were the biggest imitators of the brands used in phishing attacks in the June quarter, the report said.",google amazon big imitator brand use phishing attack june quarter report say,"['google', 'amazon', 'big', 'imitator', 'brand', 'use', 'phishing', 'attack', 'june', 'quarter', 'report', 'say']",23,12
45,PlayerUnknownsBattlegrounds(PUBG),Positive,The current state of the PUBG community regarding Loot Re-balance on Karakin... Personally I'm pretty happy with the changes and look forward to playing the card tonight! pic.twitter.com / eFc2HR1n8Y,current state pubg community regard loot balance karakin personally pretty happy change look forward play card tonight,"['current', 'state', 'pubg', 'community', 'regard', 'loot', 'balance', 'karakin', 'personally', 'pretty', 'happy', 'change', 'look', 'forward', 'play', 'card', 'tonight']",33,17
46,CallOfDutyBlackopsColdWar,Negative,and Exclusive to PlayStation? Oh fuck off. pic.twitter.com/1NwFtyVXeX,exclusive playstation oh fuck off,"['exclusive', 'playstation', 'oh', 'fuck', 'off']",10,5
47,PlayStation5(PS5),Negative,@ArgosHelpers I do love how you took money from providing my PayPal for PS5 but because the order didn ’ t completely go through your high end management because they ran an out worth of stock the moment I paid?.,love take money provide paypal but order didn completely go high end management run worth stock moment pay,"['love', 'take', 'money', 'provide', 'paypal', 'but', 'order', 'didn', 'completely', 'go', 'high', 'end', 'management', 'run', 'worth', 'stock', 'moment', 'pay']",42,18
48,CS-GO,Irrelevant#Positive,Best pistol player in 2016:GO?..,best pistol player go,"['best', 'pistol', 'player', 'go']",9,4
49,Nvidia,Positive,"Oh, yeah, although I always used to work mostly with these older guys. Second company from inside my portfolio to be acquired in the past for three months. Congrats, @SwiftStack team, on winning the acquisition!",oh yeah although always use work mostly old guy second company inside portfolio acquire past three month congrats team win acquisition,"['oh', 'yeah', 'although', 'always', 'use', 'work', 'mostly', 'old', 'guy', 'second', 'company', 'inside', 'portfolio', 'acquire', 'past', 'three', 'month', 'congrats', 'team', 'win', 'acquisition']",42,21
50,CallOfDutyBlackopsColdWar,Positive,"all hyped for cold war, campaign is something i cant wait let start! Who else is hyped!?",hyped cold war campaign something cannot wait let start else hyped,"['hyped', 'cold', 'war', 'campaign', 'something', 'cannot', 'wait', 'let', 'start', 'else', 'hyped']",21,11
51,Microsoft,Neutral,"Not exactly. Free means the price is your data. During the early days of Avast and AVG, I used to say it was better than nothing. Now, I think nothing - and Microsoft Defender - is better than this bad firewall.",not exactly free mean price data early day avast average use say well nothing think nothing microsoft defender well bad firewall,"['not', 'exactly', 'free', 'mean', 'price', 'data', 'early', 'day', 'avast', 'average', 'use', 'say', 'well', 'nothing', 'think', 'nothing', 'microsoft', 'defender', 'well', 'bad', 'firewall']",47,21
