term,total_count,document_frequency
game,110,90
play,88,88
new,82,82
not,73,73
but,69,57
go,67,67
see,63,63
get,62,56
microsoft,56,49
like,55,41
really,54,47
come,47,40
dead,43,43
no,42,42
time,42,42
first,41,41
guy,39,39
thanks,39,33
cannot,36,36
watch,35,35
unk,35,35
always,35,35
bad,34,28
fuck,34,27
red,34,34
pubg,34,27
let,29,28
look,28,28
well,28,21
one,28,22
think,28,28
use,27,27
doom,27,7
mean,27,27
favorite,27,27
take,27,27
league,27,27
great,27,27
good,27,27
happy,26,20
work,26,26
card,26,26
love,26,26
red dead,23,23
make,22,22
big,22,22
win,22,21
amazon,22,20
stop,21,21
oh,21,20
ps5,21,21
day,21,21
pls,21,14
finally,21,21
over,21,21
much,21,21
ban,21,14
tonight,21,20
google,21,20
hang,21,21
very,21,21
hope,21,21
worth,21,20
way,20,20
redemption,20,20
rhandlerr,20,7
even,20,20
something,20,20
people,20,20
call,20,20
still,20,20
super,20,20
overwatch,20,14
rank,20,13
best,20,20
absolutely,20,20
nothing,20,14
feel,20,20
old,20,20
wait,19,19
fun,19,19
reward,19,14
favorite game,19,19
release,19,19
wrong,19,19
doom doom,19,7
task,19,7
first time,18,18
look like,18,18
dead redemption,18,18
hope see,18,18
player,17,14
thank,16,15
playstation,16,16
live,16,16
late,15,14
co,15,7
extend,15,8
stream,15,15
team,15,15
music,15,13
leak,15,14
match,15,15
god,14,14
change,14,14
create,14,14
move,14,14
care,14,14
csgo,14,14
edge,14,14
do,14,14
ready,14,14
another,14,14
real,14,14
report,14,14
price,14,13
save,14,14
online,14,14
up,14,14
fix,14,7
order,14,14
state,14,14
soon,14,14
campaign,14,14
must,14,14
thing,14,14
issue,14,14
kill,14,14
miss,14,14
support,14,14
heart,14,14
rocket,14,14
less,14,14
fight,14,14
server,14,7
seriously,14,14
hot,14,14
fantastic,14,14
hey,14,14
silgryn,14,7
come hang,14,14
home,14,14
congratulation,14,14
pathetic,14,14
second,14,14
warcraft,14,14
say,14,14
pay,14,14
hero,14,13
forward,14,14
champion,14,14
episode,13,13
krieg,13,7
yet,13,13
rhandlerr rhandlerr,13,7
mission,13,13
battlefield,13,13
back,13,13
not watch,13,13
no longer,13,13
cannot wait,13,13
money,13,13
gold,13,7
add,13,13
hate,13,13
legends,13,13
high,13,13
hurt,13,13
constantly,13,13
longer,13,13
cool,13,13
expansion,13,7
person,13,7
community,13,13
family,13,13
sound,13,13
pls fix,13,7
character,13,13
follow,13,13
loot,13,13
oled,13,7
next,13,13
account,13,13
borderlands,13,13
mode,13,7
black,13,13
switch,13,13
hear,13,13
month,13,13
duty,12,12
excite,12,12
expensive,12,12
ever,12,12
core,12,7
sim,12,12
sniper,12,12
fix server,12,7
monday,12,12
thnks,12,7
low,12,12
need,12,12
oh fuck,12,12
rocket league,11,11
sell,11,11
attack,11,11
set,11,11
play overwatch,11,11
race,11,7
call duty,11,11
beautiful,11,11
league legends,11,11
twitch,10,9
johnson,10,5
soundtrack,9,9
hyped,9,5
attacked,9,9
ii,9,9
teach,9,9
life,9,9
story,8,8
princess,8,7
volunteer,8,7
facebook,8,8
act,8,8
lead,8,8
gimmick,8,8
part,8,8
suffer,8,8
young,8,8
lock,8,7
vibe,8,7
forever,8,8
bb,8,7
nigga,8,8
cost,8,8
emote,8,7
congrats,7,7
conclusion,7,7
paywall,7,7
perfect,7,7
paypal,7,7
fall,7,7
longer support,7,7
hell,7,7
horror aesthetic,7,7
extra day,7,7
extra,7,7
extend family,7,7
extend extend,7,7
exposure,7,7
everyone,7,7
liferun,7,7
liferun add,7,7
like even,7,7
section,7,7
content,7,7
like nothing,7,7
warcraft task,7,7
seem,7,7
exclusive,7,7
personally,7,7
phishing,7,7
phishing attack,7,7
phone,7,7
pick,7,7
rx,7,7
