id,text,label
1,"[Borderlands] im getting on borderlands and i will murder you all ,",Positive
2,"[Borderlands] I am coming to the borders and I will kill you all,",Positive
3,"[Borderlands] im getting on borderlands and i will kill you all,",Positive
4,"[Borderlands] im coming on borderlands and i will murder you all,",Positive
5,"[Borderlands] im getting on borderlands 2 and i will murder you me all,",Positive
6,"[Borderlands] im getting into borderlands and i can murder you all,",Positive
7,[Borderlands] So I spent a few hours making something for fun. . . If you don't know I am a HUGE @Borderlands fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg,Positive
8,"[Borderlands] So I spent a couple of hours doing something for fun... If you don't know that I'm a huge @ Borderlands fan and Maya is one of my favorite characters, I decided to make a wallpaper for my PC.. Here's the original picture compared to the creation I made:) Have fun! pic.twitter.com / mLsI5wf9Jg",Positive
9,[Borderlands] So I spent a few hours doing something for fun... If you don't know I'm a HUGE @ Borderlands fan and Maya is one of my favorite characters.,Positive
10,[Borderlands] So I spent a few hours making something for fun. . . If you don't know I am a HUGE RhandlerR fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg,Positive
11,[Borderlands] 2010 So I spent a few hours making something for fun. . . If you don't know I am a HUGE RhandlerR fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg,Positive
12,[Borderlands] was,Irrelevant
13,"[Borderlands] Rock-Hard La Varlope, RARE & POWERFUL, HANDSOME JACKPOT, Borderlands 3 (Xbox) dlvr.it/RMTrgF",Irrelevant
14,"[Borderlands] Rock-Hard La Varlope, RARE & POWERFUL, HANDSOME JACKPOT, Borderlands 3 (Xbox) dlvr.it / RMTrgF",Irrelevant
15,"[Borderlands] Rock-Hard La Varlope, RARE & POWERFUL, HANDSOME JACKPOT, Borderlands 3 (Xbox) dfr.it / RMTrgF",Irrelevant
16,"[Borderlands] Rock-Hard La Vita, RARE BUT POWERFUL, HANDSOME JACKPOT, Borderlands 1 (Xbox) dlvr.it/RMTrgF",Irrelevant
17,"[Borderlands] Live Rock - Hard music La la Varlope, RARE & the POWERFUL, Live HANDSOME i JACKPOT, Borderlands 3 ( Sega Xbox ) dlvr. From it / e RMTrgF",Irrelevant
18,"[Borderlands] I-Hard like me, RARE LONDON DE, HANDSOME 2011, Borderlands 3 (Xbox) dlvr.it/RMTrgF",Irrelevant
19,[Borderlands] that was the first borderlands session in a long time where i actually had a really satisfying combat experience. i got some really good kills,Positive
20,[Borderlands] this was the first Borderlands session in a long time where i actually had a really satisfying fighting experience. i got some really good kills,Positive
21,[Borderlands] that was the first borderlands session in a long time where i actually had a really satisfying combat experience. i got some really good kills,Positive
22,[Borderlands] that was the first borderlands session in a long time where i actually enjoyed a really satisfying combat experience. i got some rather good kills,Positive
23,[Borderlands] that I was the first real borderlands session in a nice long wait time where i actually had a really satisfying combat experience. and i got some really good kills,Positive
24,[Borderlands] that was the first borderlands session in a hot row where i actually had a really bad combat experience. i did some really good kills,Positive
25,[Borderlands] the biggest dissappoinment in my life came out a year ago fuck borderlands 3,Negative
26,[Borderlands] The biggest disappointment of my life came a year ago.,Negative
27,[Borderlands] The biggest disappointment of my life came a year ago.,Negative
28,[Borderlands] the biggest dissappoinment in my life coming out a year ago fuck borderlands 3,Negative
29,[Borderlands] For the biggest male dissappoinment in my life came hanging out a year time ago fuck borderlands 3,Negative
30,[Borderlands] the biggest dissappoinment in my life came back last year ago fuck borderlands last,Negative
31,[Borderlands] WE FINISHED BORDERLANDS 3 FINALLY YAS! Thank you for hanging out everyone! It was fun. I will try to stream tomorrow but if not I might so some IRL streams while awayu. We shall see. Thank you so much for the raids @mompou_mumpow @MegaMagwitch and @KfdMitch.,Positive
32,"[Borderlands] WE FINALLY FINALLY FIND BORDERLANDS 3 YES! Thank you all for hanging out! It was fun. I'll try to stream tomorrow, but if not, maybe some IRL streams. We'll see. Thanks for the raids @ mompou _ mumpow @ MegaMagwitch and @ KfdMitch.",Positive
33,"[Borderlands] Thank you for hanging up everyone! It was fun. I'll try to get a haircut tomorrow, but if it wasn't for me, some IRL streams would still be in Hawaii. We'll see. Thank you so much for the @ mompou _ mumpow @ MegaMagwife and @ fendMitch raids.",Positive
34,[Borderlands] WE FINISHED BORDERLANDS 3 UPDATE YAS! Thank you for hanging out guys! It was fun. I will try to stream and even if not I might so some IRL streams while awayu. We shall go. Thank you so much for the raids @mompou_mumpow @MegaMagwitch and Hope.,Positive
35,[Borderlands] WE FINISHED BORDERLANDS 3 AND FINALLY YAS! Thank you everyone for hanging out everyone! It was fun. I will try to make stream tomorrow but if not I might make so some IRL streams while awayu. 10 We never shall see. Thank you both so... much for the raids @mompou_mumpow or @MegaMagwitch and 4 @KfdMitch.,Positive
36,[Borderlands] WE FINISHED BORDERLANDS 3 FINALLY YAS! Hey you for hanging out so! It was fun. I will try that stream tomorrow and if not I might use some IRL streams from awayu. We shall see. Thank you so much how many raids @mompou_mumpow did and their.,Positive
37,[Borderlands] Man Gearbox really needs to fix this dissapointing drops in the new Borderlands 3 DLC cant be fine to farm bosses on Mayhem 10 to get 1 legendary drop while anywhere else i get 6-10 drops. . Really sucks alot,Negative
38,"[Borderlands] Man Gearbox really needs to fix these disappointing drops in the new Borderlands 3 DLC for farm bosses on Mayhem 10 to get a legendary drop, while I get 6-10 drops elsewhere.",Negative
39,[Borderlands] Man Gearbox really needs to fix this disssapointing drops in the new Borderlands 3 DLC cant be fine to farm bosses on Mayhem 10 to get 1 legendary drop while elsewhere i get 6-10 drops... Really sucks alot,Negative
40,[Borderlands] Man Bethesda really needs to fix this dissapointing drops and the new Borderlands 3 It cant be fine to farm bosses on Mayhem 10 to get 1 legendary drop while anywhere else i get 6-10 drops.. Really sucks...,Negative
41,[Borderlands] Man Gearbox really needs to fix this dissapointing drops in the completely new Borderlands 3 Days DLC i cant e be fine having to be farm bosses on Mayhem 10 to e get 1 legendary foot drop while anywhere else i get 6 - 10 drops.. It Really sucks to alot,Negative
42,[Borderlands] <unk> Gearbox really time to fix this 10 drops in the new Borderlands 3 DLC or be fine to force bosses on Mayhem 10 to get a legendary drop while everyone else i get 6-10 drops.. Really needs alot,Negative
43,[Borderlands] Check out this epic streamer!.,Positive
44,[Borderlands] Check out this epic streamer!.,Positive
45,[Borderlands] Watch this epic striptease!.,Positive
46,[Borderlands] Check out our epic streamer!.,Positive
47,[Borderlands] Check out this big epic streamer!.,Positive
48,[Borderlands] Check<unk> this epic streamer!.,Positive
49,[Borderlands] Blaming Sight for Tardiness! A little bit of borderlands. I got called in early for work tomorrow so I can't make up time. Sorry my loves .  twitch.tv/punnisenpai,Neutral
50,"[Borderlands] A bit of borderland. I was called to work tomorrow morning, so I can't catch up. Sorry, my love. twitch.tv / punnisenpai",Neutral
51,"[Borderlands] Guilty of sobriety! A bit of a borderline. I was called to work early tomorrow, so I can't catch up.",Neutral
52,[Borderlands] Blaming Sight for Tardiness! A little bit of borderlands. I got called in early for work tomorrow so I can't make up time. Sorry my loves .  twitch.tv/punnisenpai,Neutral
53,[Borderlands] for Blaming Sight for Tardiness! A little bit of borderlands. I got called in early for work tomorrow so I can't make up time. Sorry my loves .  twitch.tv/punnisenpai,Neutral
54,[Borderlands] all,Irrelevant
55,[Borderlands] why does like every man in borderlands have slicked back hair haven’t you heard of bangs you stupid assholes,Negative
56,"[Borderlands] Why, like every man in border countries, have you not heard of bangs, you stupid assholes?",Negative
57,"[Borderlands] Why, like everyone else in the border countries, have your hair fallen off, have you not heard that you are stupid aliens?",Negative
58,[Borderlands] why does like<unk> man in borderlands have slicked back hair or you heard of bangs you stupid assholes,Negative
59,[Borderlands] why Beth does like every man in borderlands have she slicked that back hair haven ’ t you heard enough of gray bangs you stupid assholes,Negative
60,[Borderlands] why does practically every man in France have slicked back hair haven’t you heard of bangs the greedy assholes,Negative
61,[Borderlands]  . . [,Irrelevant
62,[Borderlands],Irrelevant
63,[Borderlands] .. [,Irrelevant
64,[Borderlands] .. 45,Irrelevant
65,[Borderlands] .. [,Irrelevant
66,[Borderlands] .. what,Irrelevant
67,[Borderlands] Going to finish up Borderlands 2 today. I've got some new commands set up and am looking forward to a good stream! Starting in about am hour!,Positive
68,[Borderlands] I will finish Borderlands 2 today. I have some new commands set up and am looking forward to a good stream! Start in about an hour!,Positive
69,[Borderlands] I'm going to finish Borderlands 2 today. I have some new commands installed and I'm looking forward to a good stream!,Positive
70,[Borderlands] Going to finish up Borderlands 2 today. I've got some new events set up and am look forward to a good stream! Starting in about 20 hour!,Positive
71,[Borderlands] Going to finish finish cleaning up Borderlands 2 today. I've just got her some new commands set all up and am looking forward it to a good stream! Starting in about am hour!,Positive
72,[Borderlands] Going to finish up volume 2 today. I've got some awesome server set up and is looking forward to a good stream! Starting in about am hour!,Positive
73,[Borderlands] imma probably play some borderlands tps in a bit . that'll be fun,Positive
74,[Borderlands] imma is probably playing a bit of borderland tps. That will be fun.,Positive
75,[Borderlands] imma will probably play some border tps in a bit. It's going to be fun,Positive
76,[Borderlands] imma probably play live borderlands tps in a bit. that'll be fun,Positive
77,[Borderlands] for imma probably play some borderlands tps in a bit. that'yer ll be a fun,Positive
78,[Borderlands] imma probably got some video tps in a bit. that'll make fun,Positive
79,"[Borderlands] One of our own @ProfZeroo is live w/ @borderlands 3‼.  .  . . Catch him here: buff.ly/2WmmiP5 . . Say ""Streamer Shouts"" in chat for a chance to be in a coming. @streamer_shouts Shout Out. . .",Neutral
80,"[Borderlands] One of our own @ ProfZeroo is live w / @ borderlands 3.... catch him here: buff.ly / 2WmmiP5.. Say ""Streamer Shouts"" in chat for a chance to be in an upcoming one. @ streamer _ shouts Shout Out...",Neutral
81,"[Borderlands] One of our own @ ProfZero - live w / @ borderlands 3.... Catch him here: buff.ly / 2WmmiP5... Say ""Stream Shouts"" in chat for a chat for a chance to be in a coming. @ stream _ Shouts Shout Out....",Neutral
82,"[Borderlands] One of our own @ProfZeroo is live >/ @borderlands 3‼. . !. Catch him here: buff.ly/2WmmiP5 p. Say some Shouts"" in chat – a chance to be in a coming. Also Shout Out...",Neutral
83,"[Borderlands] One of our shows own @ProfZeroo is live via w / at @borderlands 3 and [UNK].... Catch him here : the buff. ly / to 2WmmiP5.. to Say "" Streamer Shouts "" in chat for a chance to officially be in a series coming. @streamer_shouts 1 Shout Out...",Neutral
84,"[Borderlands] One of its own movies is live w/ @ProfZeroo 3!!.... Catch him from: buff.ly/2WmmiP5.. for ""Streamer Shouts"" in invitation or a chance to be out a coming. All 3 invites...",Neutral
85,[Borderlands] FUCK YESSSSSSSS .,Positive
86,[Borderlands] FICK YESSSSSS.,Positive
87,[Borderlands] FUCK YESSSSSSSS.,Positive
88,[Borderlands] FUCK YESSSSSSSS<unk>,Positive
89,[Borderlands] A FUCK... YESSSSSSSS.,Positive
90,[Borderlands] FUCK YOU.,Neutral
91,[Borderlands] I hate that this easy mayhem modifier event on mayhem won’t last forever. this is the most fun i’ve had in the game since they added them horrible modifiers. @Borderlands please give me the option to play mayhem 10 but turn the modifiers off PLS,Neutral
92,[Borderlands] I hate that this simple Chaos Modifier event on Chaos won't last forever. That's the most fun I've had in the game since they added terrible modifiers. @ Borderlands please give me the option to play Chaos 10 but turn off the modifiers.,Neutral
93,[Borderlands] I hate that this easy mayhem modifier event on mayhem won't last forever. this is the most fun i've had in the game since they added them horrible modifiers. @ Borderlands please give me the option to play mayhem 10 but turn the modifiers off PLS,Neutral
94,[Borderlands] I hate saying this easy day 9 event on mayhem won’t last forever. this is the most fun i’ve had in the game since they added them horrible modifiers. @Borderlands please give me some ability to play mayhem 10 but turn the modifiers off PLS,Neutral
95,[Borderlands] I hate thinking that this easy mayhem modifier event on total mayhem won ’ t last forever. this is the absolutely most ridiculous fun experience i ’ ve had in the game almost since... they added them horrible modifiers. @Borderlands please do give me the option option to a play mayhem 10 but turn the modifiers off PLS,Neutral
96,[Borderlands] I hate that this easy horrible modifier event on game 10 last forever. That is the best fun i’ve taken in the past until they added them horrible modifiers. @Borderlands please send me the option to play mayhem 10 but turn the modifiers for PLS,Neutral
97,[Borderlands] Grounded almost looked pretty cool even despite the borderlands tier unfunny writing until it became yet another survival crafting game. I really can’t wait for this shitty trend to die,Negative
98,"[Borderlands] Grounded looked cool despite the borderline unfunny writing, until it became another survival crafting game. I really can't wait for this crappy trend to die.",Negative
99,"[Borderlands] Grosskreutz looked pretty cool, even despite the unfunny spelling, until it turned into another survival game. I really can't wait for this crap trend to die",Negative
100,[Borderlands] Grounded almost looked pretty cool here despite the borderlands tier unfunny writing until it became yet an survival crafting game. I really can’t wait for this shitty mod to die,Negative
