id,entity,label,raw_text,cleaned_text,tokens,n_tokens_raw,n_tokens_clean
1,Borderlands,Positive,"[Borderlands] im getting on borderlands and i will murder you all ,",get borderland murder,"['get', 'borderland', 'murder']",14,3
2,Borderlands,Positive,"[Borderlands] I am coming to the borders and I will kill you all,",come border kill,"['come', 'border', 'kill']",16,3
3,Borderlands,Positive,"[Borderlands] im getting on borderlands and i will kill you all,",get borderland kill,"['get', 'borderland', 'kill']",14,3
4,Borderlands,Positive,"[Borderlands] im coming on borderlands and i will murder you all,",come borderland murder,"['come', 'borderland', 'murder']",14,3
5,Borderlands,Positive,"[Borderlands] im getting on borderlands 2 and i will murder you me all,",get borderland murder,"['get', 'borderland', 'murder']",16,3
6,Borderlands,Positive,"[Borderlands] im getting into borderlands and i can murder you all,",get borderland murder,"['get', 'borderland', 'murder']",14,3
7,Borderlands,Positive,[Borderlands] So I spent a few hours making something for fun. . . If you don't know I am a HUGE @Borderlands fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg,spent hour make something fun not know huge fan maya one favorite character decide make wallpaper pc original image versus creation make enjoy,"['spent', 'hour', 'make', 'something', 'fun', 'not', 'know', 'huge', 'fan', 'maya', 'one', 'favorite', 'character', 'decide', 'make', 'wallpaper', 'pc', 'original', 'image', 'versus', 'creation', 'make', 'enjoy']",59,23
8,Borderlands,Positive,"[Borderlands] So I spent a couple of hours doing something for fun... If you don't know that I'm a huge @ Borderlands fan and Maya is one of my favorite characters, I decided to make a wallpaper for my PC.. Here's the original picture compared to the creation I made:) Have fun! pic.twitter.com / mLsI5wf9Jg",spent couple hour something fun not know huge fan maya one favorite character decide make wallpaper pc original picture compare creation make fun,"['spent', 'couple', 'hour', 'something', 'fun', 'not', 'know', 'huge', 'fan', 'maya', 'one', 'favorite', 'character', 'decide', 'make', 'wallpaper', 'pc', 'original', 'picture', 'compare', 'creation', 'make', 'fun']",63,23
9,Borderlands,Positive,[Borderlands] So I spent a few hours doing something for fun... If you don't know I'm a HUGE @ Borderlands fan and Maya is one of my favorite characters.,spent hour something fun not know huge fan maya one favorite character,"['spent', 'hour', 'something', 'fun', 'not', 'know', 'huge', 'fan', 'maya', 'one', 'favorite', 'character']",33,12
10,Borderlands,Positive,[Borderlands] So I spent a few hours making something for fun. . . If you don't know I am a HUGE RhandlerR fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg,spent hour make something fun not know huge rhandlerr fan maya one favorite character decide make wallpaper pc original image versus creation make enjoy,"['spent', 'hour', 'make', 'something', 'fun', 'not', 'know', 'huge', 'rhandlerr', 'fan', 'maya', 'one', 'favorite', 'character', 'decide', 'make', 'wallpaper', 'pc', 'original', 'image', 'versus', 'creation', 'make', 'enjoy']",59,24
11,Borderlands,Positive,[Borderlands] 2010 So I spent a few hours making something for fun. . . If you don't know I am a HUGE RhandlerR fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg,spent hour make something fun not know huge rhandlerr fan maya one favorite character decide make wallpaper pc original image versus creation make enjoy,"['spent', 'hour', 'make', 'something', 'fun', 'not', 'know', 'huge', 'rhandlerr', 'fan', 'maya', 'one', 'favorite', 'character', 'decide', 'make', 'wallpaper', 'pc', 'original', 'image', 'versus', 'creation', 'make', 'enjoy']",60,24
12,Borderlands,Irrelevant,[Borderlands] was,,[],4,0
13,Borderlands,Irrelevant,"[Borderlands] Rock-Hard La Varlope, RARE & POWERFUL, HANDSOME JACKPOT, Borderlands 3 (Xbox) dlvr.it/RMTrgF",rock hard la varlope rare powerful handsome jackpot borderlands xbox dlvr rmtrgf,"['rock', 'hard', 'la', 'varlope', 'rare', 'powerful', 'handsome', 'jackpot', 'borderlands', 'xbox', 'dlvr', 'rmtrgf']",20,12
14,Borderlands,Irrelevant,"[Borderlands] Rock-Hard La Varlope, RARE & POWERFUL, HANDSOME JACKPOT, Borderlands 3 (Xbox) dlvr.it / RMTrgF",rock hard la varlope rare powerful handsome jackpot borderlands xbox dlvr rmtrgf,"['rock', 'hard', 'la', 'varlope', 'rare', 'powerful', 'handsome', 'jackpot', 'borderlands', 'xbox', 'dlvr', 'rmtrgf']",22,12
15,Borderlands,Irrelevant,"[Borderlands] Rock-Hard La Varlope, RARE & POWERFUL, HANDSOME JACKPOT, Borderlands 3 (Xbox) dfr.it / RMTrgF",rock hard la varlope rare powerful handsome jackpot borderlands xbox dfr rmtrgf,"['rock', 'hard', 'la', 'varlope', 'rare', 'powerful', 'handsome', 'jackpot', 'borderlands', 'xbox', 'dfr', 'rmtrgf']",22,12
16,Borderlands,Irrelevant,"[Borderlands] Rock-Hard La Vita, RARE BUT POWERFUL, HANDSOME JACKPOT, Borderlands 1 (Xbox) dlvr.it/RMTrgF",rock hard la vita rare but powerful handsome jackpot borderlands xbox dlvr rmtrgf,"['rock', 'hard', 'la', 'vita', 'rare', 'but', 'powerful', 'handsome', 'jackpot', 'borderlands', 'xbox', 'dlvr', 'rmtrgf']",20,13
17,Borderlands,Irrelevant,"[Borderlands] Live Rock - Hard music La la Varlope, RARE & the POWERFUL, Live HANDSOME i JACKPOT, Borderlands 3 ( Sega Xbox ) dlvr. From it / e RMTrgF",live rock hard music la la varlope rare powerful live handsome jackpot borderlands sega xbox dlvr rmtrgf,"['live', 'rock', 'hard', 'music', 'la', 'la', 'varlope', 'rare', 'powerful', 'live', 'handsome', 'jackpot', 'borderlands', 'sega', 'xbox', 'dlvr', 'rmtrgf']",35,17
