id,text,entity,source_id,label,Comments
6,"Thank you so much to members who came out to @borderlands_sf Monday to witness @megelison and I talking about queer families, skillsharing, and fighting fascism through caring for our communities! what you great night.",Borderlands,2645,Positive,
7,Borderlands 3 - Jesse Krieg Music Meets Princess Maya ( performing Psycho Krieg solo and featuring the Fantastic Duo Fustercluck DLC ). youtube. com / channel watch? id v = o4JfCk ….,Borderlands,2473,Irrelevant,
8,I'll believe it when I see it but every way I'm excited,CallOfDutyBlackopsColdWar,1771,Positive,
9,"Attacked again IBM, AMD releases RX 6000 dual accelerator cards: lower reviews tnewspro.com/2020/10/29/att...",Nvidia,8900,Irrelevant,
10,"Thanks to Verizon, you're too expensive not to work",Verizon,11897,Neutral,
11,"Things that help with how all-caps anxious I feel right now: World of Warcraft. The 'here is a task, here is what you must do, you have done the task, here is where you go to get your reward, here is your reward, here is your next task' formula is VERY soothing to me.",WorldOfCraft,12422,Positive,
12,His Biggest Gold Grubber yet and best game with Reno Jackson for using his new updated zero cost Gold hero saving power,Hearthstone,5598,Positive,
13,The latest WarCraft Press Daily! paper.li/WarCraftPress/… Thanks to @Shadesogrey,WorldOfCraft,12486,Positive,
14,i immediately play overwatch again (bad),Overwatch,9333,Negative,
15,Huge water leak. I wonder how Sony will react now to this?,PlayStation5(PS5),9988,Negative,
16,"Nerd Tweet: I'm really disappointed by @ PlayOverwatch, one of my favorite games I've played since day one. I feel that all they care about is sport. We finally have a new hero, cool, but another dps. 2 / 2 / 2 I can somehow come back. But let's switch open...",Overwatch,9454,Negative,
17,Will<unk> be screaming “ hello it’s Jon champion with co co commentator Jim “ as what dey fuck?,PlayStation5(PS5),9984,Irrelevant,
18,4 favorite games of all time. (thanks @317Slayer and @Drunk_Cookies!). . 1. Halo 2/3 can't pick. 2. Rocket League. 3. Kingdom Hearts 2. 4. Super Mario Bros All Stars (this was probably the first game I ever played). . @Demintele_Sway @DiscoSpider93 @Void_BWungus @LSTesports let’s see em!,Borderlands,2445,Positive,
19,I like you how some @NBA2K_2KTV act like nothing wrong with that @NBA2K just keep selling this wack info.,NBA2K,8631,Positive,
20,One of the strangest things Red Dead Redement 2 has taught me (offline and online) is that there were banks and garbage cans everywhere in the old West.,RedDeadRedemption(RDR),10481,Positive,
21,RT vikatan:'Walking in India is the worst! 2-Microsoft to,Microsoft,8208,Negative,
22,Red Dead Redemption. . store.playstation.com/,RedDeadRedemption(RDR),10613,Irrelevant,
23,"@ NBA2K can I ask an episode also I have bought almost 2 million worth of vc, this is how much I love this game",NBA2K,8552,Positive,
24,pause who the god uses microsoft word... what's the point for them...,Google,4462,Negative,
25,The ban for Battlefield 4 911 _ kbbbbbbb.com player was due to DETAILS: bf4db.com / player / ban / 513...,Battlefield,1457,Neutral,
26,4 Favorite Game Soundtracks:.. Doom. Doom. Doom. Doom forever,Borderlands,2654,Positive,
27,niggas really out here tryna play me like I'm Call of Duty! I hate it here,CallOfDuty,2027,Negative,
28,Well... it was kind of puzzling.,AssassinsCreed,938,Negative,
29,"oh fuck I just realized... if a League of Legends Champion gets into smash, there's a relatively high chance it's Yasuo. FUCK",LeagueOfLegends,7491,Negative,
30,Something went wrong.,TomClancysGhostRecon,10830,Negative,
31,I'm live on Twitch - watch me on twitch.tv / osg _ shotz,Microsoft,8269,Neutral,
32,The Best Decent Bot •. sniper prize for La @NioxSnipingYT •...,CallOfDutyBlackopsColdWar,1636,Positive,
33,I miss the hot dog stands at Home Depot,HomeDepot,5805,Irrelevant#Positive,
34,"Beautiful song. Powerful lyrics that more people should hear..  ""Furious Love"" by VERIDIA on Amazon Music. music.amazon.com/albums/B00IPBY…",Amazon,230,Positive,
35,Great way to bring exposure to young up and new coming artists,Fortnite,6630,Positive,
36,with I mean this is just insane . . . RhandlerR RhandlerR RhandlerR pic.twitter.com/30llzT6egr,MaddenNFL,7715,Negative,
37,Congratulations to @Team__Spirit!... You are the.. Good coaching job. Yes Thank you again for playing!...,CS-GO,4107,Positive,
38,Why government banned pubg,PlayerUnknownsBattlegrounds(PUBG),10122,Negative,
39,Hey @ verizonfios @ verizonSupport Why does my internet speed drop to 591 Mbit / s when I pay for 1Gig SIM card services?.. Testing is done via a wired connection with CAT8 SFTP 40GB cables.. speedtest.net / result / c / 1999d...,Verizon,11692,Irrelevant#Negative,
40,"bloody hell sounds so dumb, I’ve won 10 matches in a row with over 50 MVPS’s and reached 1,500 kills each game carrying my team. Like do I needed to build a new online CSGO account????",CS-GO,4054,Positive,
41,We really are Ghosts... Real and we don't exist.,TomClancysGhostRecon,10930,Irrelevant,
42,"Who is ready for microsoft to forcibly resurrect a nasty series with no plan or direction but to make money, and then force archaic spin to release it in 2 years?!!!???",Microsoft,8035,Negative,
43,csgo pls stop ranking me up games are getting harder huhu,CS-GO,4341,Neutral#Positive,
44,"Google and Amazon were the biggest imitators of the brands used in phishing attacks in the June quarter, the report said.",Amazon,371,Irrelevant#Positive,
45,The current state of the PUBG community regarding Loot Re-balance on Karakin... Personally I'm pretty happy with the changes and look forward to playing the card tonight! pic.twitter.com / eFc2HR1n8Y,PlayerUnknownsBattlegrounds(PUBG),10245,Positive,
46,and Exclusive to PlayStation? Oh fuck off. pic.twitter.com/1NwFtyVXeX,CallOfDutyBlackopsColdWar,1995,Negative,
47,@ArgosHelpers I do love how you took money from providing my PayPal for PS5 but because the order didn ’ t completely go through your high end management because they ran an out worth of stock the moment I paid?.,PlayStation5(PS5),9749,Negative,
48,Best pistol player in 2016:GO?..,CS-GO,4214,Positive,
49,"Oh, yeah, although I always used to work mostly with these older guys. Second company from inside my portfolio to be acquired in the past for three months. Congrats, @SwiftStack team, on winning the acquisition!",Nvidia,9077,Positive,
50,"all hyped for cold war, campaign is something i cant wait let start! Who else is hyped!?",CallOfDutyBlackopsColdWar,1945,Negative,
51,"Not exactly. Free means the price is your data. During the early days of Avast and AVG, I used to say it was better than nothing. Now, I think nothing - and Microsoft Defender - is better than this bad firewall.",Microsoft,8173,Negative,
52,Just tried @GhostRecon_UK for the first time in months and it's still a bug riddled mess. Seriously guy just abandon it and move on. It's dead now.,TomClancysGhostRecon,11003,Negative,
53,@ YoyaltyGaming I can't see them.,NBA2K,8407,Negative,
54,Uh huh pic.facebook.com / bi5qYQfatb,Microsoft,8156,Irrelevant,
55,"than $500 on the AERO VA OLED - Award winning design, stunning 4K OLED panel, color in front edge of kitchen oven, with i7 core and Nvidia Core 4. This is a no work from home, create anywhere laptop! buff.ly/3kd6oRQ",Nvidia,9192,Positive,
56,Congratulations guys finally PUBG UNBAN ho gye thnks @ZakaWaqar  thnks all pubg lover .,PlayerUnknownsBattlegrounds(PUBG),10188,Positive,
57,"A new game racing mode called "" Liferun "" will be added to Fortnite very effective soon! It will first ever be showcased at PAX South in a few extra days.... In this game mode you'll play here as only a Red Green Cross Society Worker with racing to always save the lives of characters in 4 different missions!. via ) @AdamGrenade im excited!",Fortnite,6575,Neutral,
58,Microsoft falls after Microsoft forgot to issue a certificate: -))))))) theverge.com / 2020 / 2 / 3 / 21120...,Microsoft,8361,Negative,
59,"New Borderlands Ports on Switch are so good, 100% gave no complaints, definitely worth it, can’t wait to get Bioshock Collection soon.",Borderlands,2768,Positive,
60,I ’ m really bummed that @CyberpunkGame is only first person. 5 I think your 3rd person is always leading the move forward for successful side story games. The camera angles while playing just really seems so awkward and leave your game constantly struggling to enjoy the surrounding details. 4 This is going to hurt me their success,Cyberpunk2077,3619,Negative,
61,"Scump, Simp, Loony, Slacked",CallOfDutyBlackopsColdWar,1748,Irrelevant,
62,"It's take a while, but great to see the RTX real-time ray tracing technology lent out to even more mainstream games. The addition aboard @nvidia represents a big one.",Nvidia,8911,Positive,
63,@CallofDuty has gotten over 156GB. . . Absolutely pathetic.,CallOfDuty,2320,Negative,
64,"The new @ PlayHearthstone expansion looks like it will add some really fun cards, and the old gods were my favorite expansion.",Hearthstone,5513,Positive,
65,@saquon you peep with ball carrier vision? They hurt 🤦. ‍.,MaddenNFL,7981,Neutral,
66,Found this perfect setting for Zeus,AssassinsCreed,879,Positive,
67,. Is beautiful @GhostRecon..,TomClancysGhostRecon,10875,Irrelevant#Positive,
68,Happy Happy Monday!!! Tonight we will be streaming me Playing League Of Legends and learning characters through ARAM!! can’t hope will see you all!,LeagueOfLegends,7572,Positive,
